state,date,daily_newcase,total_doses,daily_doses,transcript_sentiment_positive,transcript_sentiment_neutral,transcript_sentiment_negative,avr_positive_tweet_sentiment,avr_neutral_tweet_sentiment,avr_negative_tweet_sentiment
QLD,19/08/2021,0,2971842,50117,0.633333333,0.04,0.326666667,0.275,0.715,0.01
TAS,19/08/2021,0,393152,4669,NA,NA,NA,NA,NA,NA
VIC,19/08/2021,57,4194225,68734,0.4525,0.0525,0.495,0.278461538,0.226923077,0.494615385
NSW,18/08/2021,634,5385996,109550,0.285555556,0.04,0.674444444,0.301818182,0.298181818,0.4
QLD,18/08/2021,4,2921725,45592,0.521666667,0.05,0.428333333,0.1425,0.645,0.2125
TAS,18/08/2021,0,388483,4782,NA,NA,NA,0.99,0.01,0
VIC,18/08/2021,24,4125491,63740,0.53,0.0625,0.4075,0.134,0.028,0.838
NSW,17/08/2021,454,5276446,106122,0.295833333,0.034166667,0.67,0.518888889,0.188888889,0.292222222
QLD,17/08/2021,2,2876133,38375,0.6925,0.02,0.2875,0.04,0.265,0.695
TAS,17/08/2021,0,383701,4102,NA,NA,NA,NA,NA,NA
VIC,17/08/2021,24,4061751,79810,0.2,0.06,0.74,0.4225,0.03,0.5475
NSW,16/08/2021,480,5170324,119652,0.366363636,0.040909091,0.592727273,0.168125,0.35,0.481875
QLD,16/08/2021,0,2837758,11598,0.478571429,0.032857143,0.488571429,0,0.01,0.99
TAS,16/08/2021,0,379599,860,NA,NA,NA,NA,NA,NA
VIC,16/08/2021,22,3981941,0,0.3025,0.0425,0.655,0.301538462,0.182307692,0.516153846
NSW,15/08/2021,417,5050672,65634,0.388888889,0.027777778,0.583333333,0.213636364,0.34,0.446363636
QLD,15/08/2021,1,2826160,24804,0.732,0.034,0.234,0.005,0.02,0.975
TAS,15/08/2021,0,378739,3317,NA,NA,NA,0.01,0.98,0.01
VIC,15/08/2021,25,4012922,42848,0.435,0.0425,0.5225,0.178,0.293333333,0.528666667
NSW,14/08/2021,467,4985038,105595,0.320909091,0.037272727,0.641818182,0.311764706,0.207647059,0.480588235
QLD,14/08/2021,7,2801356,46421,0.732,0.034,0.234,0.125,0.47,0.405
