...1,state,date,daily_newcase,transcript_sentiment_positive,transcript_sentiment_neutral,transcript_sentiment_negative,avr_positive_tweet_sentiment.x,avr_neutral_tweet_sentiment.x,avr_negative_tweet_sentiment.x,avr_positive_tweet_sentiment.y,avr_neutral_tweet_sentiment.y,avr_negative_tweet_sentiment.y,tweet_total,total_doses,daily_doses
88,VIC,2021-08-15,25,0.435,0.0425,0.5225,0.178,0.293333333,0.528666667,0.178,0.293333333,0.528666667,15,4012922,42848
81,NSW,2021-08-16,480,0.366363636,0.040909091,0.592727273,0.168125,0.35,0.481875,0.168125,0.35,0.481875,16,5170324,119652
82,QLD,2021-08-16,0,0.478571429,0.032857143,0.488571429,0,0.01,0.99,0,0.01,0.99,2,2837758,11598
84,VIC,2021-08-16,22,0.3025,0.0425,0.655,0.301538462,0.182307692,0.516153846,0.301538462,0.182307692,0.516153846,13,4037336,61329
77,NSW,2021-08-17,454,0.295833333,0.034166667,0.67,0.518888889,0.188888889,0.292222222,0.518888889,0.188888889,0.292222222,9,5276446,106122
78,QLD,2021-08-17,2,0.6925,0.02,0.2875,0.04,0.265,0.695,0.04,0.265,0.695,2,2876133,38375
80,VIC,2021-08-17,24,0.2,0.06,0.74,0.4225,0.03,0.5475,0.4225,0.03,0.5475,4,4061751,79810
73,NSW,2021-08-18,634,0.285555556,0.04,0.674444444,0.301818182,0.298181818,0.4,0.301818182,0.298181818,0.4,11,5385996,109550
74,QLD,2021-08-18,4,0.521666667,0.05,0.428333333,0.1425,0.645,0.2125,0.1425,0.645,0.2125,4,2921725,45592
76,VIC,2021-08-18,24,0.53,0.0625,0.4075,0.134,0.028,0.838,0.134,0.028,0.838,5,4125491,63740
69,NSW,2021-08-19,684,0.3075,0.038333333,0.654166667,0.125,0.505,0.37,0.125,0.505,0.37,6,5518435,132439
70,QLD,2021-08-19,0,0.633333333,0.04,0.326666667,0.275,0.715,0.01,0.275,0.715,0.01,2,2971842,50117
72,VIC,2021-08-19,57,0.4525,0.0525,0.495,0.278461538,0.226923077,0.494615385,0.278461538,0.226923077,0.494615385,13,4194225,68734
65,NSW,2021-08-20,646,0.32,0.043076923,0.636923077,0.075,0.27125,0.65375,0.075,0.27125,0.65375,8,5639016,120581
66,QLD,2021-08-20,1,0.53,0.036666667,0.433333333,0.235,0.115,0.65,0.235,0.115,0.65,4,3019057,47215
68,VIC,2021-08-20,56,NA,NA,NA,0.162,0.285333333,0.552666667,0.162,0.285333333,0.552666667,15,4264873,70648
61,NSW,2021-08-21,832,0.32,0.07,0.61,0.331428571,0.292857143,0.375714286,0.331428571,0.292857143,0.375714286,7,5766280,127264
62,QLD,2021-08-21,2,0.566,0.05,0.384,0,0,1,0,0,1,1,3070343,51286
64,VIC,2021-08-21,61,0.33,0.035,0.635,0.180769231,0.383076923,0.436153846,0.180769231,0.383076923,0.436153846,13,4335571,70698
57,NSW,2021-08-22,830,0.282,0.026,0.692,0.355,0.27,0.375,0.355,0.27,0.375,14,5845663,79383
58,QLD,2021-08-22,0,0.495,0.088333333,0.416666667,NA,NA,NA,NA,NA,NA,NA,3101250,30907
60,VIC,2021-08-22,65,0.548333333,0.101666667,0.35,0.170666667,0.117333333,0.712,0.170666667,0.117333333,0.712,15,4385028,49457
53,NSW,2021-08-23,818,NA,NA,NA,0.24,0.153888889,0.606111111,0.24,0.153888889,0.606111111,18,5905429,59766
54,QLD,2021-08-23,2,0.51,0.043333333,0.446666667,0.2725,0.343333333,0.384166667,0.2725,0.343333333,0.384166667,12,3120611,19361
56,VIC,2021-08-23,65,0.4625,0.0475,0.49,0.375,0.25,0.375,0.375,0.25,0.375,10,4420162,35134
49,NSW,2021-08-24,755,NA,NA,NA,0.175789474,0.341578947,0.482631579,0.175789474,0.341578947,0.482631579,19,6030074,124645
50,QLD,2021-08-24,6,0.442,0.048,0.51,0.013333333,0.31,0.676666667,0.013333333,0.31,0.676666667,3,3156625,36014
52,VIC,2021-08-24,48,NA,NA,NA,0.21,0.211538462,0.578461538,0.21,0.211538462,0.578461538,13,4488144,67982
45,NSW,2021-08-25,921,NA,NA,NA,0.17987988,0.324174174,0.495945946,0.17987988,0.324174174,0.495945946,333,6160858,130784
46,QLD,2021-08-25,0,0.526,0.042,0.432,0.1264,0.3588,0.5148,0.1264,0.3588,0.5148,25,3203908,47283
48,VIC,2021-08-25,45,0.71,0.056666667,0.233333333,0.21625,0.297731481,0.486018519,0.21625,0.297731481,0.486018519,432,4562243,74099
41,NSW,2021-08-26,1034,NA,NA,NA,0.17592068,0.323711048,0.500368272,0.17592068,0.323711048,0.500368272,353,6303835,142977
42,QLD,2021-08-26,2,0.54,0.0875,0.3725,0.175930233,0.339069767,0.485,0.175930233,0.339069767,0.485,86,3256849,52941
44,VIC,2021-08-26,79,NA,NA,NA,0.193368146,0.308198433,0.49843342,0.193368146,0.308198433,0.49843342,383,4641562,79319
37,NSW,2021-08-27,885,NA,NA,NA,0.162987421,0.317955975,0.519056604,0.162987421,0.317955975,0.519056604,318,6442295,138460
38,QLD,2021-08-27,1,0.608,0.048,0.344,0.2155,0.26525,0.51925,0.2155,0.26525,0.51925,80,3311638,54789
40,VIC,2021-08-27,79,NA,NA,NA,0.202391304,0.290496894,0.507111801,0.202391304,0.290496894,0.507111801,322,4692544,50982
33,NSW,2021-08-28,1036,NA,NA,NA,0.187374517,0.338725869,0.473899614,0.187374517,0.338725869,0.473899614,259,6580989,138694
34,QLD,2021-08-28,4,NA,NA,NA,0.211617647,0.234117647,0.554264706,0.211617647,0.234117647,0.554264706,68,3358948,47310
36,VIC,2021-08-28,64,NA,NA,NA,0.221171875,0.249726563,0.529101563,0.221171875,0.249726563,0.529101563,256,4766482,73938
29,NSW,2021-08-29,1221,NA,NA,NA,0.174323607,0.282068966,0.543607427,0.174323607,0.282068966,0.543607427,377,6649399,68410
30,QLD,2021-08-29,1,0.665,0.0425,0.2925,0.179764706,0.214,0.606235294,0.179764706,0.214,0.606235294,85,3389617,30669
32,VIC,2021-08-29,88,0.575714286,0.042857143,0.381428571,0.200598958,0.264505208,0.534895833,0.200598958,0.264505208,0.534895833,384,4852288,85806
25,NSW,2021-08-30,1293,NA,NA,NA,0.171566667,0.367566667,0.460866667,0.171566667,0.367566667,0.460866667,300,6721343,71944
26,QLD,2021-08-30,2,0.418333333,0.07,0.511666667,0.195526316,0.248552632,0.555921053,0.195526316,0.248552632,0.555921053,76,3410142,20525
28,VIC,2021-08-30,72,NA,NA,NA,0.182798054,0.262068127,0.55513382,0.182798054,0.262068127,0.55513382,411,4892786,40498
21,NSW,2021-08-31,1168,NA,NA,NA,0.186888889,0.284952381,0.52815873,0.186888889,0.284952381,0.52815873,315,6869640,148297
22,QLD,2021-08-31,0,NA,NA,NA,0.208558559,0.279189189,0.512252252,0.208558559,0.279189189,0.512252252,111,3444758,34616
24,VIC,2021-08-31,73,NA,NA,NA,0.158480663,0.245055249,0.596464088,0.158480663,0.245055249,0.596464088,362,4934476,41690
17,NSW,2021-09-01,1118,NA,NA,NA,0.195555556,0.329753086,0.474691358,0.195555556,0.329753086,0.474691358,81,6990810,121170
18,QLD,2021-09-01,1,NA,NA,NA,0.156296296,0.338888889,0.504814815,0.156296296,0.338888889,0.504814815,27,3491117,46359
20,VIC,2021-09-01,119,NA,NA,NA,0.237682927,0.288292683,0.47402439,0.237682927,0.288292683,0.47402439,82,5039494,105018
13,NSW,2021-09-02,1288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7130724,139914
14,QLD,2021-09-02,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3540050,48933
16,VIC,2021-09-02,175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5121177,81683
9,NSW,2021-09-03,1432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7245450,114726
10,QLD,2021-09-03,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3589800,49750
12,VIC,2021-09-03,208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5199809,78632
5,NSW,2021-09-04,1534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7374708,129258
6,QLD,2021-09-04,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3636463,46663
8,VIC,2021-09-04,189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5279160,79351
1,NSW,2021-09-05,1487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7469406,94698
2,QLD,2021-09-05,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3667531,31068
4,VIC,2021-09-05,183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5330721,51561
