date,total_doses,daily_change,state,positive,neutral,negative
17/04/2021,302123,10157,QLD,NA,NA,NA
16/04/2021,291966,12850,QLD,NA,NA,NA
15/04/2021,279116,13013,QLD,NA,NA,NA
14/04/2021,266103,11363,QLD,NA,NA,NA
13/04/2021,254740,11486,QLD,NA,NA,NA
12/04/2021,243254,2259,QLD,NA,NA,NA
11/04/2021,240995,5261,QLD,NA,NA,NA
10/04/2021,235734,12850,QLD,NA,NA,NA
9/04/2021,222884,122586,QLD,NA,NA,NA
8/04/2021,100298,5536,QLD,NA,NA,NA
7/04/2021,94762,5412,QLD,NA,NA,NA
6/04/2021,89350,1068,QLD,NA,NA,NA
5/04/2021,88282,0,QLD,NA,NA,NA
4/04/2021,88282,34,QLD,NA,NA,NA
3/04/2021,88248,1028,QLD,NA,NA,NA
2/04/2021,87220,7686,QLD,NA,NA,NA
1/04/2021,79534,7592,QLD,NA,NA,NA
31/03/2021,71942,6813,QLD,NA,NA,NA
30/03/2021,65129,6003,QLD,NA,NA,NA
29/03/2021,59126,196,QLD,NA,NA,NA
28/03/2021,58930,491,QLD,NA,NA,NA
27/03/2021,58439,4546,QLD,NA,NA,NA
26/03/2021,53893,4431,QLD,NA,NA,NA
25/03/2021,49462,4394,QLD,NA,NA,NA
24/03/2021,45068,4198,QLD,NA,NA,NA
23/03/2021,40870,3868,QLD,NA,NA,NA
22/03/2021,37002,177,QLD,NA,NA,NA
21/03/2021,36825,121,QLD,NA,NA,NA
20/03/2021,36704,4177,QLD,NA,NA,NA
19/03/2021,32527,3994,QLD,NA,NA,NA
18/03/2021,28533,3360,QLD,NA,NA,NA
17/03/2021,25173,3312,QLD,NA,NA,NA
16/03/2021,21861,3156,QLD,NA,NA,NA
15/03/2021,18705,0,QLD,NA,NA,NA
14/03/2021,18705,294,QLD,NA,NA,NA
13/03/2021,18411,2291,QLD,NA,NA,NA
12/03/2021,16120,2131,QLD,NA,NA,NA
11/03/2021,13989,1993,QLD,NA,NA,NA
10/03/2021,11996,1904,QLD,NA,NA,NA
9/03/2021,10092,1792,QLD,NA,NA,NA
8/03/2021,8300,0,QLD,NA,NA,NA
7/03/2021,8300,292,QLD,NA,NA,NA
6/03/2021,8008,1474,QLD,NA,NA,NA
5/03/2021,6534,1125,QLD,NA,NA,NA
4/03/2021,5409,1197,QLD,NA,NA,NA
3/03/2021,4212,1202,QLD,NA,NA,NA
2/03/2021,3010,980,QLD,NA,NA,NA
1/03/2021,2030,0,QLD,NA,NA,NA
28/02/2021,2030,0,QLD,NA,NA,NA
27/02/2021,2030,653,QLD,NA,NA,NA
26/02/2021,1377,435,QLD,NA,NA,NA
25/02/2021,942,415,QLD,NA,NA,NA
24/02/2021,527,324,QLD,NA,NA,NA
23/02/2021,203,203,QLD,NA,NA,NA
22/02/2021,0,0,QLD,NA,NA,NA
21/02/2021,0,0,QLD,NA,NA,NA
20/02/2021,0,0,QLD,NA,NA,NA
19/02/2021,0,0,QLD,NA,NA,NA
18/02/2021,0,0,QLD,NA,NA,NA
17/02/2021,0,0,QLD,NA,NA,NA
16/02/2021,0,0,QLD,NA,NA,NA
15/02/2021,0,0,QLD,NA,NA,NA
5/09/2021,471297,0,TAS,NA,NA,NA
4/09/2021,471297,5407,TAS,NA,NA,NA
3/09/2021,465890,5489,TAS,NA,NA,NA
2/09/2021,460401,5896,TAS,NA,NA,NA
1/09/2021,454505,6345,TAS,NA,NA,NA
31/08/2021,448160,5159,TAS,NA,NA,NA
30/08/2021,443001,2916,TAS,NA,NA,NA
29/08/2021,440085,4714,TAS,NA,NA,NA
28/08/2021,435371,5294,TAS,NA,NA,NA
27/08/2021,430077,5546,TAS,0.585,0.105,0.31
26/08/2021,424531,5493,TAS,NA,NA,NA
25/08/2021,419038,4975,TAS,NA,NA,NA
24/08/2021,414063,4523,TAS,NA,NA,NA
23/08/2021,409540,2134,TAS,NA,NA,NA
22/08/2021,407406,3944,TAS,NA,NA,NA
21/08/2021,403462,4511,TAS,NA,NA,NA
20/08/2021,398951,5799,TAS,0.303333333,0.31,0.386666667
19/08/2021,393152,4669,TAS,NA,NA,NA
18/08/2021,388483,4782,TAS,NA,NA,NA
17/08/2021,383701,4102,TAS,NA,NA,NA
16/08/2021,379599,860,TAS,NA,NA,NA
15/08/2021,378739,3317,TAS,NA,NA,NA
14/08/2021,375422,4267,TAS,NA,NA,NA
13/08/2021,371155,5936,TAS,0.58,0.09,0.33
12/08/2021,365219,4254,TAS,NA,NA,NA
11/08/2021,360965,4695,TAS,0.433333333,0.086666667,0.48
10/08/2021,356270,4363,TAS,NA,NA,NA
9/08/2021,351907,5999,TAS,0.255,0.065,0.68
8/08/2021,345908,1385,TAS,0.39,0.105,0.505
7/08/2021,344523,1530,TAS,0.135,0.05,0.815
6/08/2021,342993,5494,TAS,0.31,0.07,0.62
5/08/2021,337499,2789,TAS,0.36,0.04,0.6
4/08/2021,334710,4929,TAS,NA,NA,NA
3/08/2021,329781,3298,TAS,NA,NA,NA
2/08/2021,326483,5488,TAS,0.315,0.04,0.645
1/08/2021,320995,1194,TAS,NA,NA,NA
31/07/2021,319801,2113,TAS,0.4,0.14,0.46
30/07/2021,317688,4625,TAS,0.55,0.09,0.36
29/07/2021,313063,3655,TAS,NA,NA,NA
28/07/2021,309408,4291,TAS,NA,NA,NA
27/07/2021,305117,3646,TAS,NA,NA,NA
26/07/2021,301471,2242,TAS,0.665,0.1,0.235
25/07/2021,299229,2632,TAS,NA,NA,NA
24/07/2021,296597,3981,TAS,NA,NA,NA
23/07/2021,292616,4071,TAS,0.43,0.28,0.29
22/07/2021,288545,3488,TAS,0.36,0.06,0.58
21/07/2021,285057,3407,TAS,NA,NA,NA
20/07/2021,281650,4360,TAS,0.45,0.08,0.47
19/07/2021,277290,1593,TAS,NA,NA,NA
18/07/2021,275697,2697,TAS,NA,NA,NA
17/07/2021,273000,3478,TAS,0.21,0.07,0.72
16/07/2021,269522,3614,TAS,0.71,0.055,0.235
15/07/2021,265908,3171,TAS,0.25,0.09,0.66
14/07/2021,262737,3149,TAS,NA,NA,NA
13/07/2021,259588,3499,TAS,NA,NA,NA
12/07/2021,256089,2138,TAS,0.515,0.09,0.395
11/07/2021,253951,2598,TAS,NA,NA,NA
10/07/2021,251353,2644,TAS,0.46,0.11,0.43
9/07/2021,248709,3858,TAS,0.676666667,0.046666667,0.276666667
8/07/2021,244851,2942,TAS,NA,NA,NA
7/07/2021,241909,3927,TAS,NA,NA,NA
6/07/2021,237982,3522,TAS,NA,NA,NA
5/07/2021,234460,1621,TAS,0.315,0.515,0.17
4/07/2021,232839,3037,TAS,NA,NA,NA
3/07/2021,229802,3389,TAS,NA,NA,NA
2/07/2021,226413,3444,TAS,NA,NA,NA
1/07/2021,222969,3593,TAS,NA,NA,NA
30/06/2021,219376,3227,TAS,NA,NA,NA
29/06/2021,216149,2574,TAS,NA,NA,NA
28/06/2021,213575,1701,TAS,NA,NA,NA
27/06/2021,211874,2967,TAS,NA,NA,NA
26/06/2021,208907,2424,TAS,NA,NA,NA
25/06/2021,206483,3550,TAS,NA,NA,NA
24/06/2021,202933,3706,TAS,NA,NA,NA
23/06/2021,199227,3805,TAS,NA,NA,NA
22/06/2021,195422,3374,TAS,NA,NA,NA
21/06/2021,192048,2233,TAS,NA,NA,NA
20/06/2021,189815,3036,TAS,NA,NA,NA
19/06/2021,186779,3631,TAS,NA,NA,NA
18/06/2021,183148,3112,TAS,NA,NA,NA
17/06/2021,180036,2897,TAS,NA,NA,NA
16/06/2021,177139,3870,TAS,NA,NA,NA
15/06/2021,173269,294,TAS,NA,NA,NA
14/06/2021,172975,620,TAS,NA,NA,NA
13/06/2021,172355,1681,TAS,NA,NA,NA
12/06/2021,170674,3374,TAS,NA,NA,NA
11/06/2021,167300,3237,TAS,NA,NA,NA
10/06/2021,164063,2504,TAS,NA,NA,NA
9/06/2021,161559,3909,TAS,NA,NA,NA
8/06/2021,157650,3430,TAS,NA,NA,NA
7/06/2021,154220,1388,TAS,NA,NA,NA
6/06/2021,152832,2599,TAS,NA,NA,NA
5/06/2021,150233,3761,TAS,NA,NA,NA
4/06/2021,146472,1790,TAS,NA,NA,NA
3/06/2021,144682,2763,TAS,NA,NA,NA
2/06/2021,141919,3017,TAS,NA,NA,NA
1/06/2021,138902,4440,TAS,NA,NA,NA
31/05/2021,134462,220,TAS,NA,NA,NA
30/05/2021,134242,2284,TAS,NA,NA,NA
29/05/2021,131958,2507,TAS,NA,NA,NA
28/05/2021,129451,2452,TAS,NA,NA,NA
27/05/2021,126999,2855,TAS,NA,NA,NA
26/05/2021,124144,2618,TAS,NA,NA,NA
25/05/2021,121526,2179,TAS,NA,NA,NA
24/05/2021,119347,1142,TAS,NA,NA,NA
23/05/2021,118205,2444,TAS,NA,NA,NA
22/05/2021,115761,3404,TAS,NA,NA,NA
21/05/2021,112357,2195,TAS,NA,NA,NA
20/05/2021,110162,1504,TAS,NA,NA,NA
19/05/2021,108658,4116,TAS,NA,NA,NA
18/05/2021,104542,2501,TAS,NA,NA,NA
17/05/2021,102041,451,TAS,NA,NA,NA
16/05/2021,101590,1224,TAS,NA,NA,NA
15/05/2021,100366,2234,TAS,NA,NA,NA
14/05/2021,98132,2369,TAS,NA,NA,NA
13/05/2021,95763,1891,TAS,NA,NA,NA
12/05/2021,93872,2108,TAS,NA,NA,NA
11/05/2021,91764,1958,TAS,NA,NA,NA
10/05/2021,89806,107,TAS,NA,NA,NA
9/05/2021,89699,1296,TAS,NA,NA,NA
8/05/2021,88403,2287,TAS,NA,NA,NA
7/05/2021,86116,1844,TAS,NA,NA,NA
6/05/2021,84272,1367,TAS,NA,NA,NA
5/05/2021,82905,2253,TAS,NA,NA,NA
4/05/2021,80652,2681,TAS,NA,NA,NA
3/05/2021,77971,219,TAS,NA,NA,NA
2/05/2021,77752,799,TAS,NA,NA,NA
1/05/2021,76953,1470,TAS,NA,NA,NA
30/04/2021,75483,1886,TAS,NA,NA,NA
29/04/2021,73597,2557,TAS,NA,NA,NA
28/04/2021,71040,1854,TAS,NA,NA,NA
27/04/2021,69186,1573,TAS,NA,NA,NA
26/04/2021,67613,151,TAS,NA,NA,NA
25/04/2021,67462,741,TAS,NA,NA,NA
24/04/2021,66721,1416,TAS,NA,NA,NA
23/04/2021,65305,2301,TAS,NA,NA,NA
22/04/2021,63004,2184,TAS,NA,NA,NA
21/04/2021,60820,2114,TAS,NA,NA,NA
20/04/2021,58706,1906,TAS,NA,NA,NA
19/04/2021,56800,35,TAS,NA,NA,NA
18/04/2021,56765,1110,TAS,NA,NA,NA
17/04/2021,55655,1570,TAS,NA,NA,NA
16/04/2021,54085,2271,TAS,NA,NA,NA
15/04/2021,51814,2133,TAS,NA,NA,NA
14/04/2021,49681,2313,TAS,NA,NA,NA
13/04/2021,47368,1813,TAS,NA,NA,NA
12/04/2021,45555,669,TAS,NA,NA,NA
11/04/2021,44886,1898,TAS,NA,NA,NA
10/04/2021,42988,2792,TAS,NA,NA,NA
9/04/2021,40196,20446,TAS,NA,NA,NA
8/04/2021,19750,2239,TAS,NA,NA,NA
7/04/2021,17511,0,TAS,NA,NA,NA
6/04/2021,17511,0,TAS,NA,NA,NA
5/04/2021,17511,0,TAS,NA,NA,NA
4/04/2021,17511,2434,TAS,NA,NA,NA
3/04/2021,15077,0,TAS,NA,NA,NA
2/04/2021,15077,0,TAS,NA,NA,NA
1/04/2021,15077,0,TAS,NA,NA,NA
31/03/2021,15077,1327,TAS,NA,NA,NA
30/03/2021,13750,659,TAS,NA,NA,NA
29/03/2021,13091,1363,TAS,NA,NA,NA
28/03/2021,11728,0,TAS,NA,NA,NA
27/03/2021,11728,0,TAS,NA,NA,NA
26/03/2021,11728,721,TAS,NA,NA,NA
25/03/2021,11007,1153,TAS,NA,NA,NA
24/03/2021,9854,1011,TAS,NA,NA,NA
23/03/2021,8843,576,TAS,NA,NA,NA
22/03/2021,8267,222,TAS,NA,NA,NA
21/03/2021,8045,414,TAS,NA,NA,NA
20/03/2021,7631,0,TAS,NA,NA,NA
19/03/2021,7631,916,TAS,NA,NA,NA
18/03/2021,6715,950,TAS,NA,NA,NA
17/03/2021,5765,1149,TAS,NA,NA,NA
16/03/2021,4616,763,TAS,NA,NA,NA
15/03/2021,3853,186,TAS,NA,NA,NA
14/03/2021,3667,0,TAS,NA,NA,NA
13/03/2021,3667,6,TAS,NA,NA,NA
12/03/2021,3661,406,TAS,NA,NA,NA
11/03/2021,3255,542,TAS,NA,NA,NA
10/03/2021,2713,386,TAS,NA,NA,NA
9/03/2021,2327,0,TAS,NA,NA,NA
8/03/2021,2327,0,TAS,NA,NA,NA
7/03/2021,2327,0,TAS,NA,NA,NA
6/03/2021,2327,0,TAS,NA,NA,NA
5/03/2021,2327,357,TAS,NA,NA,NA
4/03/2021,1970,470,TAS,NA,NA,NA
3/03/2021,1500,335,TAS,NA,NA,NA
2/03/2021,1165,0,TAS,NA,NA,NA
1/03/2021,1165,6,TAS,NA,NA,NA
28/02/2021,1159,0,TAS,NA,NA,NA
27/02/2021,1159,0,TAS,NA,NA,NA
26/02/2021,1159,352,TAS,NA,NA,NA
25/02/2021,807,424,TAS,NA,NA,NA
24/02/2021,383,293,TAS,NA,NA,NA
23/02/2021,90,90,TAS,NA,NA,NA
22/02/2021,0,0,TAS,NA,NA,NA
21/02/2021,0,0,TAS,NA,NA,NA
20/02/2021,0,0,TAS,NA,NA,NA
19/02/2021,0,0,TAS,NA,NA,NA
18/02/2021,0,0,TAS,NA,NA,NA
17/02/2021,0,0,TAS,NA,NA,NA
16/02/2021,0,0,TAS,NA,NA,NA
15/02/2021,0,0,TAS,NA,NA,NA
