state,date,daily_newcase,total_doses,daily_doses,transcript_sentiment_positive,transcript_sentiment_neutral,transcript_sentiment_negative
VIC,24/05/2021,1,929107,4964,NA,NA,NA
VIC,23/05/2021,1,924143,9175,NA,NA,NA
VIC,22/05/2021,0,914968,21741,NA,NA,NA
VIC,21/05/2021,0,893227,26553,NA,NA,NA
VIC,20/05/2021,0,866674,24961,NA,NA,NA
VIC,19/05/2021,1,841713,25162,NA,NA,NA
VIC,18/05/2021,0,816551,24217,NA,NA,NA
VIC,17/05/2021,1,792334,4370,NA,NA,NA
VIC,16/05/2021,4,787964,7667,NA,NA,NA
VIC,15/05/2021,1,780297,19954,NA,NA,NA
VIC,14/05/2021,1,760343,21895,NA,NA,NA
VIC,13/05/2021,1,738448,23393,NA,NA,NA
VIC,12/05/2021,1,715055,19769,NA,NA,NA
VIC,11/05/2021,1,695286,22044,NA,NA,NA
VIC,10/05/2021,2,673242,3213,NA,NA,NA
VIC,9/05/2021,5,670029,7956,NA,NA,NA
VIC,8/05/2021,1,662073,18528,NA,NA,NA
VIC,7/05/2021,0,643545,24564,NA,NA,NA
VIC,6/05/2021,2,618981,22537,NA,NA,NA
VIC,5/05/2021,0,596444,23867,NA,NA,NA
VIC,4/05/2021,1,572577,19155,NA,NA,NA
VIC,3/05/2021,1,553422,2281,NA,NA,NA
VIC,2/05/2021,1,551141,4964,NA,NA,NA
VIC,1/05/2021,3,546177,12503,NA,NA,NA
VIC,30/04/2021,2,533674,16805,NA,NA,NA
VIC,29/04/2021,1,516869,20489,NA,NA,NA
VIC,28/04/2021,2,496380,17195,NA,NA,NA
VIC,27/04/2021,4,479185,11854,NA,NA,NA
VIC,26/04/2021,0,467331,1109,NA,NA,NA
VIC,25/04/2021,1,466222,6376,NA,NA,NA
VIC,24/04/2021,2,459846,13395,NA,NA,NA
VIC,23/04/2021,2,446451,19185,NA,NA,NA
VIC,22/04/2021,2,427266,16937,NA,NA,NA
VIC,21/04/2021,3,410329,15074,NA,NA,NA
VIC,20/04/2021,1,395255,16705,NA,NA,NA
VIC,19/04/2021,4,378550,18777,NA,NA,NA
VIC,18/04/2021,0,359773,5283,NA,NA,NA
VIC,17/04/2021,3,354490,13009,NA,NA,NA
VIC,16/04/2021,0,341481,14182,NA,NA,NA
VIC,15/04/2021,5,327299,14581,NA,NA,NA
VIC,14/04/2021,0,312718,14382,NA,NA,NA
VIC,13/04/2021,0,298336,13094,NA,NA,NA
VIC,12/04/2021,2,285242,3528,NA,NA,NA
VIC,11/04/2021,0,281714,7408,NA,NA,NA
VIC,10/04/2021,1,274306,13256,NA,NA,NA
VIC,9/04/2021,0,261050,131513,NA,NA,NA
VIC,8/04/2021,0,129537,5778,NA,NA,NA
VIC,7/04/2021,0,123759,6059,NA,NA,NA
VIC,6/04/2021,0,117700,1023,NA,NA,NA
VIC,5/04/2021,0,116677,443,NA,NA,NA
VIC,4/04/2021,0,116234,247,NA,NA,NA
VIC,3/04/2021,0,115987,910,NA,NA,NA
VIC,2/04/2021,0,115077,7555,NA,NA,NA
VIC,1/04/2021,0,107522,8457,NA,NA,NA
VIC,31/03/2021,0,99065,6300,NA,NA,NA
VIC,30/03/2021,0,92765,6483,NA,NA,NA
VIC,29/03/2021,1,86282,2072,NA,NA,NA
VIC,28/03/2021,0,84210,3512,NA,NA,NA
VIC,27/03/2021,0,80698,5072,NA,NA,NA
VIC,26/03/2021,0,75626,6034,NA,NA,NA
VIC,25/03/2021,0,69592,5698,NA,NA,NA
VIC,24/03/2021,0,63894,4385,NA,NA,NA
VIC,23/03/2021,0,59509,4486,NA,NA,NA
VIC,22/03/2021,0,55023,1342,NA,NA,NA
VIC,21/03/2021,0,53681,1398,NA,NA,NA
VIC,20/03/2021,0,52283,4552,NA,NA,NA
VIC,19/03/2021,0,47731,4742,NA,NA,NA
VIC,18/03/2021,0,42989,4041,NA,NA,NA
VIC,17/03/2021,0,38948,3666,NA,NA,NA
VIC,16/03/2021,0,35282,3474,NA,NA,NA
VIC,15/03/2021,0,31808,606,NA,NA,NA
VIC,14/03/2021,0,31202,904,NA,NA,NA
VIC,13/03/2021,0,30298,4350,NA,NA,NA
VIC,12/03/2021,0,25948,3631,NA,NA,NA
VIC,11/03/2021,0,22317,3992,NA,NA,NA
VIC,10/03/2021,0,18325,2831,NA,NA,NA
VIC,9/03/2021,1,15494,1072,NA,NA,NA
VIC,8/03/2021,1,14422,844,NA,NA,NA
VIC,7/03/2021,0,13578,727,NA,NA,NA
VIC,6/03/2021,0,12851,1944,NA,NA,NA
VIC,5/03/2021,0,10907,2262,NA,NA,NA
VIC,4/03/2021,0,8645,1969,NA,NA,NA
VIC,3/03/2021,0,6676,1656,NA,NA,NA
VIC,2/03/2021,0,5020,1158,NA,NA,NA
VIC,1/03/2021,0,3862,100,NA,NA,NA
VIC,28/02/2021,0,3762,149,NA,NA,NA
VIC,27/02/2021,0,3613,711,NA,NA,NA
VIC,26/02/2021,2,2902,839,NA,NA,NA
VIC,25/02/2021,0,2063,808,NA,NA,NA
VIC,24/02/2021,0,1255,675,NA,NA,NA
VIC,23/02/2021,0,580,580,NA,NA,NA
VIC,22/02/2021,0,0,0,NA,NA,NA
VIC,21/02/2021,0,0,0,NA,NA,NA
VIC,20/02/2021,0,0,0,NA,NA,NA
VIC,19/02/2021,3,0,0,NA,NA,NA
VIC,18/02/2021,1,0,0,NA,NA,NA
VIC,17/02/2021,0,0,0,NA,NA,NA
VIC,16/02/2021,4,0,0,NA,NA,NA
VIC,15/02/2021,2,0,0,NA,NA,NA
