state,date,daily_newcase,total_doses,daily_doses,transcript_sentiment_positive,transcript_sentiment_neutral,transcript_sentiment_negative
QLD,17/07/2021,1,1933767,28917,NA,NA,NA
QLD,16/07/2021,1,1904850,35851,0.6225,0.05,0.3275
QLD,15/07/2021,5,1868999,33435,0.488333333,0.088333333,0.423333333
QLD,14/07/2021,5,1835564,34669,NA,NA,NA
QLD,13/07/2021,3,1800895,28065,0.3775,0.0525,0.57
QLD,12/07/2021,1,1772830,6613,0.574,0.052,0.374
QLD,11/07/2021,1,1766217,13959,NA,NA,NA
QLD,10/07/2021,5,1752258,29961,NA,NA,NA
QLD,9/07/2021,0,1722297,34391,0.573333333,0.023333333,0.403333333
QLD,8/07/2021,3,1687906,36162,0.395,0.0575,0.5475
QLD,7/07/2021,1,1651744,33780,0.516666667,0.04,0.443333333
QLD,6/07/2021,6,1617964,27362,0.532,0.07,0.398
QLD,5/07/2021,7,1590602,6439,0.596,0.048,0.356
QLD,4/07/2021,2,1584163,14301,NA,NA,NA
QLD,3/07/2021,8,1569862,31831,NA,NA,NA
QLD,2/07/2021,5,1538031,38563,NA,NA,NA
QLD,1/07/2021,4,1499468,38764,NA,NA,NA
QLD,30/06/2021,4,1460704,32551,NA,NA,NA
QLD,29/06/2021,4,1428153,23959,NA,NA,NA
QLD,28/06/2021,3,1404194,8197,NA,NA,NA
QLD,27/06/2021,3,1395997,14395,NA,NA,NA
QLD,26/06/2021,1,1381602,25314,NA,NA,NA
QLD,25/06/2021,2,1356288,29809,NA,NA,NA
QLD,24/06/2021,4,1326479,29867,NA,NA,NA
QLD,23/06/2021,1,1296612,29536,NA,NA,NA
QLD,22/06/2021,3,1267076,24327,NA,NA,NA
QLD,21/06/2021,5,1242749,8020,NA,NA,NA
QLD,20/06/2021,1,1234729,12571,NA,NA,NA
QLD,19/06/2021,0,1222158,28381,NA,NA,NA
QLD,18/06/2021,3,1193777,30146,NA,NA,NA
QLD,17/06/2021,6,1163631,27053,NA,NA,NA
QLD,16/06/2021,0,1136578,30676,NA,NA,NA
QLD,15/06/2021,2,1105902,24895,NA,NA,NA
QLD,14/06/2021,1,1081007,5705,NA,NA,NA
QLD,13/06/2021,7,1075302,10525,NA,NA,NA
QLD,12/06/2021,1,1064777,24452,NA,NA,NA
QLD,11/06/2021,0,1040325,28462,NA,NA,NA
QLD,10/06/2021,7,1011863,26219,NA,NA,NA
QLD,9/06/2021,3,985644,25687,NA,NA,NA
QLD,8/06/2021,1,959957,22956,NA,NA,NA
QLD,7/06/2021,0,937001,8218,NA,NA,NA
QLD,6/06/2021,2,928783,14565,NA,NA,NA
QLD,5/06/2021,1,914218,25200,NA,NA,NA
QLD,4/06/2021,0,889018,26170,NA,NA,NA
QLD,3/06/2021,2,862848,23512,NA,NA,NA
QLD,2/06/2021,1,839336,24234,NA,NA,NA
QLD,1/06/2021,0,815102,19129,NA,NA,NA
QLD,31/05/2021,0,795973,1330,NA,NA,NA
QLD,30/05/2021,2,794643,4581,NA,NA,NA
QLD,29/05/2021,1,790062,19046,NA,NA,NA
QLD,28/05/2021,2,771016,21669,NA,NA,NA
QLD,27/05/2021,2,749347,20240,NA,NA,NA
QLD,26/05/2021,1,729107,18530,NA,NA,NA
QLD,25/05/2021,2,710577,16271,NA,NA,NA
QLD,24/05/2021,3,694306,1365,NA,NA,NA
QLD,23/05/2021,0,692941,4148,NA,NA,NA
QLD,22/05/2021,2,688793,15064,NA,NA,NA
QLD,21/05/2021,2,673729,17573,NA,NA,NA
QLD,20/05/2021,1,656156,15225,NA,NA,NA
QLD,19/05/2021,1,640931,14529,NA,NA,NA
QLD,18/05/2021,2,626402,12571,NA,NA,NA
QLD,17/05/2021,1,613831,1291,NA,NA,NA
QLD,16/05/2021,1,612540,3079,NA,NA,NA
QLD,15/05/2021,1,609461,13253,NA,NA,NA
QLD,14/05/2021,0,596208,13831,NA,NA,NA
QLD,13/05/2021,0,582377,14443,NA,NA,NA
QLD,12/05/2021,3,567934,14355,NA,NA,NA
QLD,11/05/2021,0,553579,12319,NA,NA,NA
QLD,10/05/2021,1,541260,1792,NA,NA,NA
QLD,9/05/2021,3,539468,3281,NA,NA,NA
QLD,8/05/2021,2,536187,14830,NA,NA,NA
QLD,7/05/2021,2,521357,15798,NA,NA,NA
QLD,6/05/2021,3,505559,15032,NA,NA,NA
QLD,5/05/2021,0,490527,14957,NA,NA,NA
QLD,4/05/2021,1,475570,2048,NA,NA,NA
QLD,3/05/2021,3,473522,893,NA,NA,NA
QLD,2/05/2021,0,472629,3229,NA,NA,NA
QLD,1/05/2021,0,469400,10975,NA,NA,NA
QLD,30/04/2021,3,458425,14360,NA,NA,NA
QLD,29/04/2021,4,444065,16893,NA,NA,NA
QLD,28/04/2021,9,427172,12396,NA,NA,NA
QLD,27/04/2021,2,414776,1534,NA,NA,NA
QLD,26/04/2021,2,413242,317,NA,NA,NA
QLD,25/04/2021,2,412925,3361,NA,NA,NA
QLD,24/04/2021,1,409564,12888,NA,NA,NA
QLD,23/04/2021,4,396676,15974,NA,NA,NA
QLD,22/04/2021,0,380702,13610,NA,NA,NA
QLD,21/04/2021,1,367092,13165,NA,NA,NA
QLD,20/04/2021,0,353927,13373,NA,NA,NA
QLD,19/04/2021,0,340554,34847,NA,NA,NA
QLD,18/04/2021,2,305707,3584,NA,NA,NA
QLD,17/04/2021,1,302123,10157,NA,NA,NA
QLD,16/04/2021,5,291966,12850,NA,NA,NA
QLD,15/04/2021,0,279116,13013,NA,NA,NA
QLD,14/04/2021,2,266103,11363,NA,NA,NA
QLD,13/04/2021,2,254740,11486,NA,NA,NA
QLD,12/04/2021,2,243254,2259,NA,NA,NA
QLD,11/04/2021,0,240995,5261,NA,NA,NA
QLD,10/04/2021,1,235734,12850,NA,NA,NA
QLD,9/04/2021,1,222884,122586,NA,NA,NA
QLD,8/04/2021,3,100298,5536,NA,NA,NA
QLD,7/04/2021,6,94762,5412,NA,NA,NA
QLD,6/04/2021,0,89350,1068,NA,NA,NA
QLD,5/04/2021,4,88282,0,NA,NA,NA
QLD,4/04/2021,1,88282,34,NA,NA,NA
QLD,3/04/2021,3,88248,1028,NA,NA,NA
QLD,2/04/2021,8,87220,7686,NA,NA,NA
QLD,1/04/2021,10,79534,7592,NA,NA,NA
QLD,31/03/2021,3,71942,6813,NA,NA,NA
QLD,30/03/2021,10,65129,6003,NA,NA,NA
QLD,29/03/2021,10,59126,196,NA,NA,NA
QLD,28/03/2021,3,58930,491,NA,NA,NA
QLD,27/03/2021,6,58439,4546,NA,NA,NA
QLD,26/03/2021,7,53893,4431,NA,NA,NA
QLD,25/03/2021,3,49462,4394,NA,NA,NA
QLD,24/03/2021,4,45068,4198,NA,NA,NA
QLD,23/03/2021,3,40870,3868,NA,NA,NA
QLD,22/03/2021,4,37002,177,NA,NA,NA
QLD,21/03/2021,2,36825,121,NA,NA,NA
QLD,20/03/2021,4,36704,4177,NA,NA,NA
QLD,19/03/2021,9,32527,3994,NA,NA,NA
QLD,18/03/2021,8,28533,3360,NA,NA,NA
QLD,17/03/2021,6,25173,3312,NA,NA,NA
QLD,16/03/2021,2,21861,3156,NA,NA,NA
QLD,15/03/2021,6,18705,0,NA,NA,NA
QLD,14/03/2021,1,18705,294,NA,NA,NA
QLD,13/03/2021,4,18411,2291,NA,NA,NA
QLD,12/03/2021,2,16120,2131,NA,NA,NA
QLD,11/03/2021,5,13989,1993,NA,NA,NA
QLD,10/03/2021,5,11996,1904,NA,NA,NA
QLD,9/03/2021,5,10092,1792,NA,NA,NA
QLD,8/03/2021,5,8300,0,NA,NA,NA
QLD,7/03/2021,1,8300,292,NA,NA,NA
QLD,6/03/2021,3,8008,1474,NA,NA,NA
QLD,5/03/2021,1,6534,1125,NA,NA,NA
QLD,4/03/2021,7,5409,1197,NA,NA,NA
QLD,3/03/2021,0,4212,1202,NA,NA,NA
QLD,2/03/2021,4,3010,980,NA,NA,NA
QLD,1/03/2021,2,2030,0,NA,NA,NA
QLD,28/02/2021,0,2030,0,NA,NA,NA
QLD,27/02/2021,1,2030,653,NA,NA,NA
QLD,26/02/2021,4,1377,435,NA,NA,NA
QLD,25/02/2021,1,942,415,NA,NA,NA
QLD,24/02/2021,0,527,324,NA,NA,NA
QLD,23/02/2021,0,203,203,NA,NA,NA
QLD,22/02/2021,2,0,0,NA,NA,NA
QLD,21/02/2021,0,0,0,NA,NA,NA
QLD,20/02/2021,0,0,0,NA,NA,NA
QLD,19/02/2021,0,0,0,NA,NA,NA
QLD,18/02/2021,0,0,0,NA,NA,NA
QLD,17/02/2021,0,0,0,NA,NA,NA
QLD,16/02/2021,0,0,0,NA,NA,NA
QLD,15/02/2021,0,0,0,NA,NA,NA
TAS,5/09/2021,0,471297,0,NA,NA,NA
TAS,4/09/2021,0,471297,5407,NA,NA,NA
TAS,3/09/2021,0,465890,5489,NA,NA,NA
TAS,2/09/2021,0,460401,5896,NA,NA,NA
TAS,1/09/2021,0,454505,6345,NA,NA,NA
TAS,31/08/2021,0,448160,5159,NA,NA,NA
TAS,30/08/2021,0,443001,2916,NA,NA,NA
TAS,29/08/2021,0,440085,4714,NA,NA,NA
TAS,28/08/2021,0,435371,5294,NA,NA,NA
TAS,27/08/2021,0,430077,5546,0.585,0.105,0.31
TAS,26/08/2021,0,424531,5493,NA,NA,NA
TAS,25/08/2021,0,419038,4975,NA,NA,NA
TAS,24/08/2021,0,414063,4523,NA,NA,NA
TAS,23/08/2021,0,409540,2134,NA,NA,NA
TAS,22/08/2021,0,407406,3944,NA,NA,NA
TAS,21/08/2021,0,403462,4511,NA,NA,NA
TAS,20/08/2021,0,398951,5799,0.303333333,0.31,0.386666667
TAS,19/08/2021,0,393152,4669,NA,NA,NA
TAS,18/08/2021,0,388483,4782,NA,NA,NA
TAS,17/08/2021,0,383701,4102,NA,NA,NA
TAS,16/08/2021,0,379599,860,NA,NA,NA
TAS,15/08/2021,0,378739,3317,NA,NA,NA
TAS,14/08/2021,0,375422,4267,NA,NA,NA
TAS,13/08/2021,0,371155,5936,0.58,0.09,0.33
TAS,12/08/2021,0,365219,4254,NA,NA,NA
TAS,11/08/2021,0,360965,4695,0.433333333,0.086666667,0.48
TAS,10/08/2021,0,356270,4363,NA,NA,NA
TAS,9/08/2021,0,351907,5999,0.255,0.065,0.68
TAS,8/08/2021,0,345908,1385,0.39,0.105,0.505
TAS,7/08/2021,0,344523,1530,0.135,0.05,0.815
TAS,6/08/2021,0,342993,5494,0.31,0.07,0.62
TAS,5/08/2021,1,337499,2789,0.36,0.04,0.6
TAS,4/08/2021,0,334710,4929,NA,NA,NA
TAS,3/08/2021,0,329781,3298,NA,NA,NA
TAS,2/08/2021,0,326483,5488,0.315,0.04,0.645
TAS,1/08/2021,0,320995,1194,NA,NA,NA
TAS,31/07/2021,0,319801,2113,0.4,0.14,0.46
TAS,30/07/2021,0,317688,4625,0.55,0.09,0.36
TAS,29/07/2021,0,313063,3655,NA,NA,NA
TAS,28/07/2021,0,309408,4291,NA,NA,NA
TAS,27/07/2021,0,305117,3646,NA,NA,NA
TAS,26/07/2021,0,301471,2242,0.665,0.1,0.235
TAS,25/07/2021,0,299229,2632,NA,NA,NA
TAS,24/07/2021,0,296597,3981,NA,NA,NA
TAS,23/07/2021,0,292616,4071,0.43,0.28,0.29
TAS,22/07/2021,0,288545,3488,0.36,0.06,0.58
TAS,21/07/2021,0,285057,3407,NA,NA,NA
TAS,20/07/2021,0,281650,4360,0.45,0.08,0.47
TAS,19/07/2021,0,277290,1593,NA,NA,NA
TAS,18/07/2021,0,275697,2697,NA,NA,NA
TAS,17/07/2021,0,273000,3478,0.21,0.07,0.72
TAS,16/07/2021,0,269522,3614,0.71,0.055,0.235
TAS,15/07/2021,0,265908,3171,0.25,0.09,0.66
TAS,14/07/2021,0,262737,3149,NA,NA,NA
TAS,13/07/2021,0,259588,3499,NA,NA,NA
TAS,12/07/2021,0,256089,2138,0.515,0.09,0.395
TAS,11/07/2021,0,253951,2598,NA,NA,NA
TAS,10/07/2021,0,251353,2644,0.46,0.11,0.43
TAS,9/07/2021,0,248709,3858,0.676666667,0.046666667,0.276666667
TAS,8/07/2021,0,244851,2942,NA,NA,NA
TAS,7/07/2021,0,241909,3927,NA,NA,NA
TAS,6/07/2021,0,237982,3522,NA,NA,NA
TAS,5/07/2021,0,234460,1621,0.315,0.515,0.17
TAS,4/07/2021,0,232839,3037,NA,NA,NA
TAS,3/07/2021,0,229802,3389,NA,NA,NA
TAS,2/07/2021,0,226413,3444,NA,NA,NA
TAS,1/07/2021,0,222969,3593,NA,NA,NA
TAS,30/06/2021,0,219376,3227,NA,NA,NA
TAS,29/06/2021,0,216149,2574,NA,NA,NA
TAS,28/06/2021,0,213575,1701,NA,NA,NA
TAS,27/06/2021,0,211874,2967,NA,NA,NA
TAS,26/06/2021,0,208907,2424,NA,NA,NA
TAS,25/06/2021,0,206483,3550,NA,NA,NA
TAS,24/06/2021,0,202933,3706,NA,NA,NA
TAS,23/06/2021,0,199227,3805,NA,NA,NA
TAS,22/06/2021,0,195422,3374,NA,NA,NA
TAS,21/06/2021,0,192048,2233,NA,NA,NA
TAS,20/06/2021,0,189815,3036,NA,NA,NA
TAS,19/06/2021,0,186779,3631,NA,NA,NA
TAS,18/06/2021,0,183148,3112,NA,NA,NA
TAS,17/06/2021,0,180036,2897,NA,NA,NA
TAS,16/06/2021,0,177139,3870,NA,NA,NA
TAS,15/06/2021,0,173269,294,NA,NA,NA
TAS,14/06/2021,0,172975,620,NA,NA,NA
TAS,13/06/2021,0,172355,1681,NA,NA,NA
TAS,12/06/2021,0,170674,3374,NA,NA,NA
TAS,11/06/2021,0,167300,3237,NA,NA,NA
TAS,10/06/2021,0,164063,2504,NA,NA,NA
TAS,9/06/2021,0,161559,3909,NA,NA,NA
TAS,8/06/2021,0,157650,3430,NA,NA,NA
TAS,7/06/2021,0,154220,1388,NA,NA,NA
TAS,6/06/2021,0,152832,2599,NA,NA,NA
TAS,5/06/2021,0,150233,3761,NA,NA,NA
TAS,4/06/2021,0,146472,1790,NA,NA,NA
TAS,3/06/2021,0,144682,2763,NA,NA,NA
TAS,2/06/2021,0,141919,3017,NA,NA,NA
TAS,1/06/2021,0,138902,4440,NA,NA,NA
TAS,31/05/2021,0,134462,220,NA,NA,NA
TAS,30/05/2021,0,134242,2284,NA,NA,NA
TAS,29/05/2021,0,131958,2507,NA,NA,NA
TAS,28/05/2021,0,129451,2452,NA,NA,NA
TAS,27/05/2021,0,126999,2855,NA,NA,NA
TAS,26/05/2021,0,124144,2618,NA,NA,NA
TAS,25/05/2021,0,121526,2179,NA,NA,NA
TAS,24/05/2021,0,119347,1142,NA,NA,NA
TAS,23/05/2021,0,118205,2444,NA,NA,NA
TAS,22/05/2021,0,115761,3404,NA,NA,NA
TAS,21/05/2021,0,112357,2195,NA,NA,NA
TAS,20/05/2021,0,110162,1504,NA,NA,NA
TAS,19/05/2021,0,108658,4116,NA,NA,NA
TAS,18/05/2021,0,104542,2501,NA,NA,NA
TAS,17/05/2021,0,102041,451,NA,NA,NA
TAS,16/05/2021,0,101590,1224,NA,NA,NA
TAS,15/05/2021,0,100366,2234,NA,NA,NA
TAS,14/05/2021,0,98132,2369,NA,NA,NA
TAS,13/05/2021,0,95763,1891,NA,NA,NA
TAS,12/05/2021,0,93872,2108,NA,NA,NA
TAS,11/05/2021,0,91764,1958,NA,NA,NA
TAS,10/05/2021,0,89806,107,NA,NA,NA
TAS,9/05/2021,0,89699,1296,NA,NA,NA
TAS,8/05/2021,0,88403,2287,NA,NA,NA
TAS,7/05/2021,0,86116,1844,NA,NA,NA
TAS,6/05/2021,0,84272,1367,NA,NA,NA
TAS,5/05/2021,0,82905,2253,NA,NA,NA
TAS,4/05/2021,0,80652,2681,NA,NA,NA
TAS,3/05/2021,0,77971,219,NA,NA,NA
TAS,2/05/2021,0,77752,799,NA,NA,NA
TAS,1/05/2021,0,76953,1470,NA,NA,NA
TAS,30/04/2021,0,75483,1886,NA,NA,NA
TAS,29/04/2021,0,73597,2557,NA,NA,NA
TAS,28/04/2021,0,71040,1854,NA,NA,NA
TAS,27/04/2021,0,69186,1573,NA,NA,NA
TAS,26/04/2021,0,67613,151,NA,NA,NA
TAS,25/04/2021,0,67462,741,NA,NA,NA
TAS,24/04/2021,0,66721,1416,NA,NA,NA
TAS,23/04/2021,0,65305,2301,NA,NA,NA
TAS,22/04/2021,0,63004,2184,NA,NA,NA
TAS,21/04/2021,0,60820,2114,NA,NA,NA
TAS,20/04/2021,0,58706,1906,NA,NA,NA
TAS,19/04/2021,0,56800,35,NA,NA,NA
TAS,18/04/2021,0,56765,1110,NA,NA,NA
TAS,17/04/2021,0,55655,1570,NA,NA,NA
TAS,16/04/2021,0,54085,2271,NA,NA,NA
TAS,15/04/2021,0,51814,2133,NA,NA,NA
TAS,14/04/2021,0,49681,2313,NA,NA,NA
TAS,13/04/2021,0,47368,1813,NA,NA,NA
TAS,12/04/2021,0,45555,669,NA,NA,NA
TAS,11/04/2021,0,44886,1898,NA,NA,NA
TAS,10/04/2021,0,42988,2792,NA,NA,NA
TAS,9/04/2021,0,40196,20446,NA,NA,NA
TAS,8/04/2021,0,19750,2239,NA,NA,NA
TAS,7/04/2021,0,17511,0,NA,NA,NA
TAS,6/04/2021,0,17511,0,NA,NA,NA
TAS,5/04/2021,0,17511,0,NA,NA,NA
TAS,4/04/2021,0,17511,2434,NA,NA,NA
TAS,3/04/2021,0,15077,0,NA,NA,NA
TAS,2/04/2021,0,15077,0,NA,NA,NA
TAS,1/04/2021,0,15077,0,NA,NA,NA
TAS,31/03/2021,0,15077,1327,NA,NA,NA
TAS,30/03/2021,0,13750,659,NA,NA,NA
TAS,29/03/2021,0,13091,1363,NA,NA,NA
TAS,28/03/2021,0,11728,0,NA,NA,NA
TAS,27/03/2021,0,11728,0,NA,NA,NA
TAS,26/03/2021,0,11728,721,NA,NA,NA
TAS,25/03/2021,0,11007,1153,NA,NA,NA
TAS,24/03/2021,0,9854,1011,NA,NA,NA
TAS,23/03/2021,0,8843,576,NA,NA,NA
TAS,22/03/2021,0,8267,222,NA,NA,NA
TAS,21/03/2021,0,8045,414,NA,NA,NA
TAS,20/03/2021,0,7631,0,NA,NA,NA
TAS,19/03/2021,0,7631,916,NA,NA,NA
TAS,18/03/2021,0,6715,950,NA,NA,NA
TAS,17/03/2021,0,5765,1149,NA,NA,NA
TAS,16/03/2021,0,4616,763,NA,NA,NA
TAS,15/03/2021,0,3853,186,NA,NA,NA
TAS,14/03/2021,0,3667,0,NA,NA,NA
TAS,13/03/2021,0,3667,6,NA,NA,NA
TAS,12/03/2021,0,3661,406,NA,NA,NA
TAS,11/03/2021,0,3255,542,NA,NA,NA
TAS,10/03/2021,0,2713,386,NA,NA,NA
TAS,9/03/2021,0,2327,0,NA,NA,NA
TAS,8/03/2021,0,2327,0,NA,NA,NA
TAS,7/03/2021,0,2327,0,NA,NA,NA
TAS,6/03/2021,0,2327,0,NA,NA,NA
TAS,5/03/2021,0,2327,357,NA,NA,NA
TAS,4/03/2021,0,1970,470,NA,NA,NA
TAS,3/03/2021,0,1500,335,NA,NA,NA
TAS,2/03/2021,0,1165,0,NA,NA,NA
TAS,1/03/2021,0,1165,6,NA,NA,NA
TAS,28/02/2021,0,1159,0,NA,NA,NA
TAS,27/02/2021,0,1159,0,NA,NA,NA
TAS,26/02/2021,0,1159,352,NA,NA,NA
TAS,25/02/2021,0,807,424,NA,NA,NA
TAS,24/02/2021,0,383,293,NA,NA,NA
TAS,23/02/2021,0,90,90,NA,NA,NA
TAS,22/02/2021,0,0,0,NA,NA,NA
TAS,21/02/2021,0,0,0,NA,NA,NA
TAS,20/02/2021,0,0,0,NA,NA,NA
TAS,19/02/2021,0,0,0,NA,NA,NA
TAS,18/02/2021,0,0,0,NA,NA,NA
TAS,17/02/2021,0,0,0,NA,NA,NA
TAS,16/02/2021,0,0,0,NA,NA,NA
TAS,15/02/2021,0,0,0,NA,NA,NA
